direction,entry_px,entry_time,exit_px,exit_time,option_symbol,pnl_pct,pnl_usd,regime,score,signal_time,sl_hint,squeeze,tf_15m,tf_1h,tf_5m,ticker,trend_bonus,uvol,vix,vix_mult
CALL,1.88,2026-05-27 12:32:20,1.25,2026-05-27 13:08:59,AMZN260527C00270000,-33.5,-63.0,bull,14.2,2026-05-27 12:32:14,40.0,False,4.0,5.0,3.0,AMZN,0.0,True,16.9,0.85
CALL,0.55,2026-05-27 14:33:24,0.65,2026-05-27 14:35:13,META260527C00645000,18.2,20.0,bull,21.2,2026-05-27 14:33:17,40.0,True,6.0,6.0,7.0,META,0.0,True,16.6,0.85
CALL,0.39,2026-05-27 14:43:47,0.19,2026-05-27 14:45:45,META260527C00640000,-51.3,-60.0,bull,21.3,2026-05-27 14:43:41,40.0,True,9.0,6.0,3.0,META,0.0,True,16.6,0.85
CALL,0.2,2026-05-27 14:54:13,0.17,2026-05-27 14:54:16,META260527C00640000,-15.0,-18.0,bull,19.9,2026-05-27 14:54:06,25.0,True,5.0,6.0,3.0,META,0.0,True,16.6,0.85
CALL,0.23,2026-05-27 15:01:12,0.32,2026-05-27 15:02:17,META260527C00645000,39.1,45.0,bull,20.6,2026-05-27 15:01:04,25.0,True,5.0,7.0,4.0,META,0.0,True,16.5,0.85
CALL,0.32,2026-05-27 15:08:13,0.23,2026-05-27 15:08:18,META260527C00647500,-28.1,-27.0,bull,21.7,2026-05-27 15:08:05,25.0,True,6.0,9.0,4.0,META,0.0,True,16.5,0.85
CALL,1.45,2026-05-27 15:15:15,1.05,2026-05-27 15:15:49,META260527C00635000,-27.6,-40.0,bull,21.4,2026-05-27 15:15:06,25.0,True,6.0,9.0,3.0,META,0.0,True,16.5,0.85
CALL,0.54,2026-05-27 15:25:40,0.38,2026-05-27 15:26:51,META260527C00635000,-29.6,-32.0,bull,20.9,2026-05-27 15:25:32,28.0,True,3.0,9.0,5.0,META,0.0,True,16.5,0.85
CALL,0.83,2026-05-27 15:36:04,1.38,2026-05-27 15:40:53,META260527C00635000,66.3,55.0,bull,20.1,2026-05-27 15:35:57,25.0,True,4.0,6.0,5.0,META,0.0,True,16.5,0.85
CALL,1.95,2026-05-28 14:04:58,1.4,2026-05-28 14:19:25,MSFT260529C00432500,-28.2,-55.0,bull,15.0,2026-05-28 14:04:51,25.0,False,6.0,6.0,6.0,MSFT,0.0,True,15.8,0.85
